"basiccar","pop.total","pop.male","pop.u20","pop.20.64","pop.married","pop.white","pop.black","pop.native","pop.asian","pop.pacific","pop.latino","occupants.1.5","rent.35.income","occ.units","pop.single.hh","hh.size","no.school","poverty","med.income","pop.no.insur","pop.unempl","city","x","y","R_MeanDiff","NR_CrimeCount","R_CrimeCount","R_MedianDiff","R_SDDiff","R_1DAY","R_1WEEK","R_1MONTH","R_MONTHS","crime.cap"
"10A17",29788.2761776429,50.8594954273659,24.2723549473085,63.285377117809,0.23139478829042,63.6286272984236,5.26374324647724,1.02555351667593,11.9344000027937,0.29432757599464,40.7264734038063,2.74981809768799,55.7446777851377,1437.79270134512,0.156542342723353,3.0415757663256,15.515695012828,12.3736987503558,68970.2046454713,5.49039491037176,5.50157390602432,1,-118.34664869,34.26958047,202.266666666667,7500,15,31,336.739506500344,0.214285714285714,0.25,0.25,0.285714285714286,0.252280459439283
"10A21",40652.7852649509,48.9789412059879,25.7490171221412,61.9780894225167,0.222853897024511,76.0966095616057,3.7568240261643,0.37272952554823,10.3655759879374,0.470940816816066,49.2839016152582,5.42655302921811,57.3101889974134,1651.5222012301,0.131347465614199,3.29793141461831,25.8799500708525,21.7087768461486,53324.5307977023,5.82387584267597,4.13993249267016,1,-118.28347896,34.25185961,248.527777777778,9971,36,7,444.887111595169,0.169230769230769,0.276923076923077,0.323076923076923,0.230769230769231,0.246157795456825
"10A3",40311.9772733365,49.8651657116023,24.9705359535191,64.3825273713746,0.204304111987437,68.1892027514261,7.0444466628236,1.47740825337088,14.9169479719747,0.293536746362165,53.9122278764502,5.71989913236619,52.3167866298018,1620.82591359218,0.161548908353856,3.54232191319132,25.895710207902,19.44542518899,54095.86161698,5.47307354872351,5.00175924563679,1,-118.46643771,33.99562065,163.258064516129,9452,31,3,420.636420022639,0.203125,0.3125,0.34375,0.140625,0.235240259630537
"10A39",24000.6562380109,50.3479582990974,29.885262257732,61.7672595647643,0.184454349938415,41.6448642222176,5.40353908701389,0.450677837935536,7.86574434834097,0.220914010964078,66.3083432543069,9.18559160749287,54.5137416015431,1410.89120204594,0.17641675125363,3.23759437458544,29.3416691526299,23.2721992902149,42717.7119728666,7.48444775291842,7.66323967427882,1,-118.41458244,33.99541106,246.861111111111,7566,36,2.5,511.478146595184,0.202702702702703,0.310810810810811,0.324324324324324,0.162162162162162,0.316741339262231
"10A83",34253.106597166,48.4988312194825,22.560019369435,59.8917125138422,0.265355464209134,80.3562609439225,4.97648122578734,0.288645952764086,9.91336064266471,0.451621441207107,17.6602186629763,1.16916021796542,52.5058924720494,1602.19989067231,0.154095431531081,2.63452699553355,6.02558858757742,10.9470893263512,87930.1231469208,5.10431580264349,4.69034766884032,1,-118.40946599,33.94202363,138.057142857143,9619,35,3,345.914639492355,0.183098591549296,0.323943661971831,0.366197183098592,0.126760563380282,0.281843048968841
"10A99",36037.4415564559,46.3887735210759,19.7395214694912,57.8645457402426,0.316966799512984,87.2043983264311,4.35321871792509,0.209091864624639,9.62509512197357,0.0587711517448897,8.47681860550839,0.516088443744262,47.0228908838467,1998.25228753726,0.119918681970694,2.39823964314636,6.0270705344198,10.6181313726735,96924.9193020243,1.72471995908271,5.50296896609093,1,-118.52662289,34.28731425,38.2857142857143,9051,21,4,95.2849111124856,0.128205128205128,0.333333333333333,0.435897435897436,0.102564102564103,0.251738181407465
"11A1",31398.8510661215,48.7409699024733,14.2378921151,70.997739563915,0.220638040602799,67.2548152076536,3.53866552400961,0.815966798325703,18.4107876226357,0.62174754467812,24.6221409367937,1.82484184157753,41.105032825601,1522.66750033689,0.251240955724553,2.25738022716784,10.3980578388938,10.8282122691688,68941.4724939238,4.20560976938438,6.5808610999474,1,-118.53759038,34.23606391,156,10208,26,7.5,320.73004224737,0.1875,0.270833333333333,0.333333333333333,0.208333333333333,0.325935492940447
"11A17",38044.8236579278,48.3686009357155,21.9816816107893,61.5988208405267,0.258254669895926,58.8901539623317,2.46122665396308,1.92076493387882,29.5581585452637,0.687141201777092,39.1611885879517,1.70641787726848,39.0630281321625,1455.95680350856,0.130238798927149,2.76925027037948,11.9518438607262,10.6886240026727,76697.21836027,4.60457029026953,5.27065864984037,1,-118.57286638,34.2363856,115.739130434783,8236,23,12,242.868879212876,0.0882352941176471,0.235294117647059,0.382352941176471,0.294117647058824,0.217086037098216
"11A25",27798.7155490923,48.439621472671,23.7076551482178,63.7002163908225,0.20925269566142,55.6124542833325,2.66369011320502,3.50299889431581,16.9655930927968,0.587720799641827,62.2107129402473,2.36325625875204,44.0545960375407,1127.82184722422,0.173747095461729,3.07027312214018,22.9096211286824,16.214031143442,56637.7933565008,5.36047686854701,6.22060731095227,1,-118.63229492,34.18847727,72.6470588235294,5742,17,7,132.76480198855,0.133333333333333,0.3,0.433333333333333,0.133333333333333,0.207167845213195
"11A37",31450.4762811611,49.3427338729548,26.1305881421863,65.1192970333759,0.191247535486237,48.5048935423596,3.08925122128834,2.0908700153572,8.36902253932642,0.39801351661784,73.7229210799862,8.44924545657885,52.6616412821605,1325.62274684155,0.201463170228392,3.2506511419004,33.2720783565442,26.0073775795293,46600.2807849748,7.48906103404467,6.47277891124129,1,-118.59334632,34.19233552,160.642857142857,7644,28,2,353.629039184422,0.196428571428571,0.303571428571429,0.321428571428571,0.178571428571429,0.243939072064086
